City,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind_speed,Country,Date
chokurdakh,70.6333,147.9167,39.49,67,100,7.0,RU,1630388561
chongwe,-15.3292,28.682,64.54,53,0,6.35,ZM,1630388764
christchurch,-43.5333,172.6333,46.9,65,6,5.99,NZ,1630388632
chuy,-33.6971,-53.4616,56.77,98,41,6.06,UY,1630388577
cidreira,-30.1811,-50.2056,61.95,92,18,19.15,BR,1630388621
clyde river,70.4692,-68.5914,36.63,74,48,6.08,CA,1630388567
coahuayana,18.7333,-103.6833,76.03,93,97,3.24,MX,1630388606
codrington,-38.2667,141.9667,60.4,66,100,18.32,AU,1630388614
coihaique,-45.5752,-72.0662,42.75,93,0,3.44,CL,1630388697
colares,38.7992,-9.4469,69.3,81,41,3.56,PT,1630388755
college,64.8569,-147.8028,55.38,87,90,3.44,US,1630388580
comodoro rivadavia,-45.8667,-67.5,42.66,81,0,4.61,AR,1630388559
constantine,36.365,6.6147,74.61,53,40,4.61,DZ,1630388701
copiapo,-27.3667,-70.3333,49.69,40,3,0.83,CL,1630388367
coyah,9.75,-13.4167,72.75,98,100,4.18,GN,1630388648
cuddapah,14.4667,78.8167,86.0,66,40,11.5,IN,1630388584
czersk,53.7959,17.9765,57.58,93,100,12.33,PL,1630388742
dahra,36.2546,0.8519,70.99,61,85,3.31,DZ,1630388786
damphu,27.0721,90.1096,75.63,91,72,4.36,BT,1630388735
daru,-9.0763,143.2092,81.45,82,96,15.61,PG,1630388681
deniliquin,-35.5333,144.9667,73.0,31,47,13.71,AU,1630388590
dennery,13.8996,-60.8879,77.09,88,0,0.0,LC,1630388739
denpasar,-8.65,115.2167,83.86,70,20,14.97,ID,1630388504
derzhavinsk,51.1,66.3167,66.6,32,3,9.71,KZ,1630388552
diamantino,-14.4086,-56.4461,79.9,37,80,1.54,BR,1630388555
dikson,73.5069,80.5464,41.18,85,100,12.53,RU,1630388572
dingle,10.9995,122.6711,87.73,68,100,5.86,PH,1630388617
dongsheng,39.8161,109.9776,72.54,41,22,4.54,CN,1630388626
dukat,62.55,155.55,62.94,42,15,3.6,RU,1630388725
dunmore town,25.5,-76.65,81.95,75,7,8.93,BS,1630388727
dutlwe,-23.9833,23.9,57.94,39,0,6.11,BW,1630388743
east london,-33.0153,27.9116,50.94,81,0,5.75,ZA,1630388617
eirunepe,-6.6603,-69.8736,71.06,98,15,2.84,BR,1630388705
elk,53.8282,22.3647,58.3,99,100,6.08,PL,1630388568
elliot lake,46.3834,-82.6331,60.89,93,0,5.23,CA,1630388698
erenhot,43.6475,111.9767,76.59,24,0,3.33,CN,1630388753
esperance,-33.8667,121.9,66.04,68,86,9.46,AU,1630388633
estepa,37.2926,-4.879,65.79,56,1,3.18,ES,1630388729
eyrarbakki,63.863,-21.1481,55.45,91,100,9.64,IS,1630388735
faanui,-16.4833,-151.75,79.38,72,7,15.9,PF,1630388610
fairbanks,64.8378,-147.7164,55.4,87,90,3.44,US,1630388661
falam,22.9167,93.6833,73.44,81,85,1.86,MM,1630388574
faribault,44.295,-93.2688,67.68,75,40,0.0,US,1630388771
ferme-neuve,46.7001,-75.4493,64.18,90,79,4.56,CA,1630388677
flin flon,54.7682,-101.865,57.56,73,79,5.03,CA,1630388635
flinders,-34.5833,150.8552,72.18,54,41,5.99,AU,1630388669
fonte boa,-2.4959,-66.2662,71.82,100,100,2.44,BR,1630388573
forbes,-33.3833,148.0167,65.71,54,46,7.23,AU,1630388783
fort payne,34.4442,-85.7197,72.41,72,90,8.05,US,1630388750
fortuna,40.5982,-124.1573,53.65,68,1,0.0,US,1630388699
fukue,32.6881,128.8419,84.56,79,20,6.91,JP,1630388593
galeana,24.8333,-100.0667,63.5,77,91,0.27,MX,1630388780
galle,6.0367,80.217,83.21,76,77,12.19,LK,1630388643
garautha,25.5667,79.3,91.4,56,79,10.07,IN,1630388619
gat,31.61,34.7642,83.08,61,6,5.21,IL,1630388782
general roca,-39.0333,-67.5833,50.4,49,81,5.57,AR,1630388721
georgetown,5.4112,100.3354,85.95,70,40,4.61,MY,1630388513
geraldton,-28.7667,114.6,70.21,56,75,4.61,AU,1630388642
gidam,18.9833,81.4,83.19,78,89,6.89,IN,1630388615
glace bay,46.1969,-59.957,68.97,96,90,5.01,CA,1630388721
glinka,54.6404,32.8781,62.67,84,100,8.77,RU,1630388558
gomel,52.4345,30.9754,62.58,100,90,6.71,BY,1630388641
gonaives,19.45,-72.6833,76.86,73,74,5.08,HT,1630388709
gotsu,35.0,132.2167,80.74,74,58,10.25,JP,1630388762
goundam,16.4145,-3.6708,83.53,50,35,6.78,ML,1630388657
grand gaube,-20.0064,57.6608,75.6,69,36,5.99,MU,1630388716
grand-santi,4.25,-54.3833,71.35,100,11,2.06,GF,1630388758
gravdal,68.1214,13.5031,51.48,87,75,21.85,NO,1630388754
great yarmouth,52.6083,1.7305,59.95,87,100,14.9,GB,1630388632
grindavik,63.8424,-22.4338,55.35,94,0,13.8,IS,1630388451
guerrero negro,27.9769,-114.0611,71.4,81,23,12.17,MX,1630388622
gunjur,13.2019,-16.7339,77.86,86,100,8.99,GM,1630388676
guozhen,34.3659,107.359,70.59,91,100,3.29,CN,1630388655
half moon bay,37.4636,-122.4286,69.19,81,1,0.0,US,1630388456
hami,42.8,93.45,85.77,22,52,11.18,CN,1630388652
hamilton,39.1834,-84.5333,73.24,95,1,3.44,US,1630388706
harrismith,-28.2728,29.1295,53.46,26,0,11.18,ZA,1630388712
hasaki,35.7333,140.8333,86.22,63,71,9.1,JP,1630388459
havoysund,70.9963,24.6622,50.23,89,100,18.97,NO,1630388722
