City,Lat,Lng,Max_temp,Humidity,Cloudiness,Wind_speed,Country,Date
prieska,-29.6641,22.7474,53.65,23,0,4.41,ZA,1630388618
provideniya,64.3833,-173.3,48.31,81,90,0.0,RU,1630388532
puerto ayora,-0.7393,-90.3518,64.54,99,89,1.99,EC,1630388560
puerto baquerizo moreno,-0.9,-89.6,67.33,90,36,10.65,EC,1630388554
puerto del rosario,28.5004,-13.8627,73.15,83,20,10.36,ES,1630388650
puerto escondido,15.85,-97.0667,79.57,87,89,3.36,MX,1630388611
puerto madryn,-42.7692,-65.0385,54.39,74,10,4.76,AR,1630388737
punta arenas,-53.15,-70.9167,41.11,70,0,20.71,CL,1630388544
puqi,29.7167,113.8833,96.51,49,5,3.83,CN,1630388766
puri,19.8,85.85,84.72,71,60,14.47,IN,1630388746
qaanaaq,77.484,-69.3632,29.84,73,88,6.73,GL,1630388563
qaqortoq,60.7167,-46.0333,47.1,82,100,1.92,GL,1630388696
raahe,64.6833,24.4833,53.69,82,100,9.82,FI,1630388674
raudeberg,61.9875,5.1352,56.07,91,92,9.33,NO,1630388605
rawson,-43.3002,-65.1023,52.41,78,12,5.48,AR,1630388727
reconquista,-29.15,-59.65,67.91,63,0,9.26,AR,1630388625
ribeira grande,38.5167,-28.7,73.85,88,80,9.69,PT,1630388659
richards bay,-28.783,32.0377,63.95,62,0,4.54,ZA,1630388572
rikitea,-23.1203,-134.9692,73.45,80,36,19.69,PF,1630388539
rincon,32.296,-81.2354,80.85,95,1,3.44,US,1630388661
rio cuarto,-33.1307,-64.3499,53.83,60,21,9.01,AR,1630388568
rio gallegos,-51.6226,-69.2181,35.65,75,0,8.05,AR,1630388527
rio grande,-32.035,-52.0986,62.94,95,23,14.76,BR,1630388636
roald,62.5833,6.1333,55.17,87,75,5.75,NO,1630388527
robertsport,6.7533,-11.3686,77.88,82,100,12.01,LR,1630388638
rocha,-34.4833,-54.3333,55.63,97,68,7.65,UY,1630388592
roma,43.2128,-75.4557,69.66,90,20,0.0,US,1630388584
russell,32.3502,-85.1999,74.12,90,75,8.05,US,1630388654
ruteng,-8.6136,120.4721,75.25,56,4,1.5,ID,1630388623
sabha,27.0377,14.4283,88.39,17,25,9.46,LY,1630388663
saint anthony,45.0205,-93.218,67.93,83,1,0.0,US,1630388600
saint george,37.1041,-113.5841,91.99,21,1,6.91,US,1630388557
saint leonard,47.173,-67.9247,63.81,100,3,2.93,CA,1630388535
saint-augustin,51.226,-58.6502,55.83,90,100,9.01,CA,1630388528
saint-francois,46.4154,3.9054,50.47,100,90,0.0,FR,1630388691
saint-joseph,-21.3667,55.6167,76.21,76,27,8.43,RE,1630388663
saint-philippe,-21.3585,55.7679,77.22,76,28,10.71,RE,1630388562
saint-pierre,-21.3393,55.4781,77.29,69,29,4.61,RE,1630388765
salalah,17.0151,54.0924,80.69,83,75,8.05,OM,1630388741
saldanha,-33.0117,17.9442,51.85,70,99,12.73,ZA,1630388553
salinas,36.6777,-121.6555,65.86,83,90,4.61,US,1630388714
sambava,-14.2667,50.1667,73.6,87,89,7.72,MG,1630388609
san andres,12.5847,-81.7006,80.62,78,75,9.22,CO,1630388653
san cristobal,7.7669,-72.225,63.66,95,92,2.39,VE,1630388562
san patricio,28.017,-97.5169,85.89,68,14,9.37,US,1630388614
san quintin,30.4833,-115.95,69.24,86,47,8.01,MX,1630388774
santa marta,11.2408,-74.199,76.98,89,98,1.01,CO,1630388507
santarem,-2.4431,-54.7083,75.33,100,0,2.3,BR,1630388661
sao filipe,14.8961,-24.4956,78.17,84,99,9.69,CV,1630388651
sao joao da barra,-21.6403,-41.0511,67.84,88,99,9.66,BR,1630388594
sao jose da coroa grande,-8.8978,-35.1478,73.36,83,54,8.21,BR,1630388768
sarangani,5.4033,125.4636,83.71,74,100,13.91,PH,1630388566
sarankhola,22.3082,89.7897,89.47,63,56,8.08,BD,1630388691
sarrebourg,48.7333,7.05,57.85,95,1,3.76,FR,1630388656
saskylakh,71.9167,114.0833,42.78,67,100,11.79,RU,1630388667
saveh,35.0213,50.3566,87.12,16,0,6.06,IR,1630388545
say,13.1007,2.3689,77.56,85,69,5.86,NE,1630388779
scarborough,54.2797,-0.4044,55.08,90,100,4.0,GB,1630388670
senneterre,48.3835,-77.2328,57.42,78,36,9.15,CA,1630388670
serenje,-13.2325,30.2352,65.62,48,24,5.59,ZM,1630388723
severo-kurilsk,50.6789,156.125,55.89,83,39,4.14,RU,1630388578
shache,38.4167,77.2406,86.79,19,100,2.89,CN,1630388640
sharjah,25.3573,55.4033,100.56,38,0,11.5,AE,1630388724
shenkursk,62.1091,42.896,51.94,55,41,1.39,RU,1630388611
shingu,33.7333,135.9833,89.91,66,40,6.02,JP,1630388599
shubarkuduk,49.1447,56.4872,72.73,25,2,9.91,KZ,1630388669
simpang,-1.2667,104.0833,84.47,71,95,5.41,ID,1630388743
sinnamary,5.3833,-52.95,77.92,87,36,9.53,GF,1630388721
sioux lookout,50.1001,-91.917,57.58,100,1,2.3,CA,1630388650
sisimiut,66.9395,-53.6735,39.11,75,52,7.52,GL,1630388757
sitka,57.0531,-135.33,57.09,82,1,11.5,US,1630388678
sitrah,26.1547,50.6206,98.6,56,0,6.91,BH,1630388549
sohag,26.557,31.6948,82.69,32,0,20.49,EG,1630388443
sol-iletsk,51.1631,54.9918,71.51,24,1,4.72,RU,1630388778
sola,-13.8833,167.55,78.69,78,81,24.87,VU,1630388588
solnechnyy,50.7214,136.6319,69.03,48,16,6.33,RU,1630388602
sorland,67.667,12.6934,51.66,78,74,24.36,NO,1630388708
souillac,-20.5167,57.5167,75.58,69,20,11.5,MU,1630388630
srednekolymsk,67.45,153.6833,50.09,56,100,12.35,RU,1630388740
staryy krym,45.0333,35.1,76.77,50,0,13.73,UA,1630388629
staryy nadym,65.6118,72.6842,43.57,92,100,18.7,RU,1630388725
sterling,39.0062,-77.4286,75.72,93,40,5.75,US,1630388512
suleja,9.1758,7.1808,72.59,98,100,2.8,NG,1630388421
sundsvall,62.3913,17.3063,50.97,75,0,4.61,SE,1630388736
swan hill,-35.3378,143.5544,76.89,24,80,14.34,AU,1630388415
tabou,4.423,-7.3528,76.19,85,100,7.56,CI,1630388695
tagusao,9.1924,117.8141,85.62,68,84,4.27,PH,1630388548
tahta,26.7693,31.5021,82.72,33,0,20.02,EG,1630388766
takaungu,-3.6837,39.8566,77.49,72,78,16.28,KE,1630388618
tala,30.6803,30.9429,81.12,60,0,5.59,EG,1630388550
talnakh,69.4865,88.3972,49.1,71,100,7.76,RU,1630388654
tasiilaq,65.6145,-37.6368,42.96,70,100,4.29,GL,1630388616
tautira,-17.7333,-149.15,78.82,79,18,15.46,PF,1630388568
teguise,29.0605,-13.564,70.02,83,40,8.05,ES,1630388762
tekeli,44.83,78.8239,81.86,17,17,12.46,KZ,1630388581
temuco,-38.7333,-72.6,47.97,94,83,0.85,CL,1630388547
ternate,0.8,127.4,84.09,72,83,7.52,ID,1630388609
tevriz,57.509,72.4042,48.49,86,83,3.91,RU,1630388769
teya,60.3778,92.6267,44.33,96,100,10.85,RU,1630388749
thompson,55.7435,-97.8558,53.76,87,20,2.3,CA,1630388529
tianpeng,30.9866,103.9393,77.47,80,100,1.54,CN,1630388710
tiksi,71.6872,128.8694,38.28,78,85,3.36,RU,1630388540
tilichiki,60.4667,166.1,52.07,88,100,4.36,RU,1630388783
topolobampo,25.6,-109.05,75.11,83,99,16.8,MX,1630388647
torbay,47.6666,-52.7314,51.28,96,75,2.3,CA,1630388620
touros,-5.1989,-35.4608,70.7,82,24,12.8,BR,1630388407
troitskiy,57.0603,63.7481,56.3,45,68,8.05,RU,1630388666
troitskoye,52.9821,84.6757,60.28,59,99,3.67,RU,1630388707
tsaratanana,-16.7833,47.65,78.08,61,76,10.11,MG,1630388741
tual,-5.6667,132.75,81.23,80,72,13.13,ID,1630388720
tuatapere,-46.1333,167.6833,50.22,75,79,1.72,NZ,1630388715
tucumcari,35.1717,-103.725,69.64,73,1,5.75,US,1630388565
tukrah,32.5341,20.5791,80.26,72,0,10.11,LY,1630388564
tuktoyaktuk,69.4541,-133.0374,42.8,100,90,10.36,CA,1630388544
tura,25.5198,90.2201,77.11,94,100,2.62,IN,1630388758
turka,49.1541,23.0297,52.25,88,77,8.66,UA,1630388663
ukiah,39.1502,-123.2078,70.12,61,0,3.89,US,1630388570
upernavik,72.7868,-56.1549,36.1,96,100,2.13,GL,1630388561
urumqi,43.801,87.6005,86.95,18,0,4.47,CN,1630388681
ushuaia,-54.8,-68.3,38.86,70,0,0.0,AR,1630388527
ust-nera,64.5667,143.2,53.65,64,96,3.67,RU,1630388638
vaini,-21.2,-175.2,75.36,88,20,10.36,TO,1630388525
vaitape,-16.5167,-151.75,79.36,72,6,15.9,PF,1630388693
valle de allende,26.9333,-105.4,66.25,75,100,5.5,MX,1630388765
vao,-22.6667,167.4833,69.04,64,5,14.05,NC,1630388775
vardo,70.3705,31.1107,49.75,83,90,7.78,NO,1630388595
vestmanna,62.1564,-7.1664,52.72,100,20,9.22,FO,1630388777
victor harbor,-35.5667,138.6167,72.46,60,58,10.16,AU,1630388646
victoria,22.2855,114.1577,87.76,83,55,3.0,HK,1630388356
vila,42.0304,-8.1588,52.68,93,67,3.15,PT,1630388629
vila franca do campo,37.7167,-25.4333,72.01,93,100,6.62,PT,1630388585
vila velha,-20.3297,-40.2925,66.15,94,90,3.44,BR,1630388587
vilhena,-12.7406,-60.1458,71.4,48,7,3.8,BR,1630388679
vilyuysk,63.7553,121.6247,54.19,44,56,5.1,RU,1630388689
vitim,59.4511,112.5578,77.04,39,21,6.6,RU,1630388778
vung tau,10.346,107.0843,83.52,73,100,4.68,VN,1630388683
vyazemskiy,47.5378,134.7525,69.51,63,45,5.01,RU,1630388704
vytegra,61.0064,36.4481,54.64,73,11,5.1,RU,1630388613
wahiawa,21.5028,-158.0236,77.32,70,1,4.61,US,1630388594
waingapu,-9.6567,120.2641,87.15,44,5,16.11,ID,1630388700
waipawa,-41.4122,175.5153,48.04,63,91,9.44,NZ,1630388660
walvis bay,-22.9575,14.5053,51.1,100,0,0.0,NA,1630388773
wanaka,-44.7,169.15,42.71,80,82,2.51,NZ,1630388767
warrnambool,-38.3833,142.4833,65.8,66,100,18.59,AU,1630388589
washougal,45.5826,-122.3534,64.26,66,90,5.75,US,1630388718
westport,41.1415,-73.3579,76.82,94,1,1.01,US,1630388314
whitehaven,54.549,-3.5841,52.83,86,98,1.99,GB,1630388678
willowmore,-33.2926,23.4895,49.01,69,44,9.51,ZA,1630388666
winneba,5.3511,-0.6231,74.25,92,100,5.12,GH,1630388598
winnemucca,40.973,-117.7357,66.25,19,75,4.61,US,1630388643
wonthaggi,-38.6044,145.5913,68.2,58,100,24.07,AU,1630388637
xining,36.6167,101.7667,72.61,41,34,3.65,CN,1630388645
xinpu,34.5997,119.1594,87.93,77,93,8.41,CN,1630388590
xinzhou,38.4092,112.7333,60.42,90,100,1.28,CN,1630388732
xuanhua,40.6103,115.0447,78.22,49,83,6.76,CN,1630388672
yandyki,45.7691,47.1258,83.68,36,0,17.78,RU,1630388570
yarada,17.65,83.2667,86.32,74,75,9.22,IN,1630388753
yellowknife,62.456,-114.3525,52.32,100,20,4.61,CA,1630388576
yerbogachen,61.2767,108.0108,73.06,46,51,10.36,RU,1630388551
yertsevo,60.7966,40.086,51.21,64,0,4.27,RU,1630388547
ylivieska,64.0833,24.55,55.31,76,94,5.55,FI,1630388621
yulara,-25.2406,130.9889,85.84,8,99,11.5,AU,1630388593
yumen,40.2833,97.2,81.91,18,13,10.31,CN,1630388627
zhangye,38.9342,100.4517,75.94,33,81,2.84,CN,1630388537
zheleznodorozhnyy,55.7503,38.0042,63.12,68,93,8.25,RU,1630388761
zhigansk,66.7697,123.3711,46.15,57,95,7.96,RU,1630388664
zyryanka,65.75,150.85,47.39,84,100,14.54,RU,1630388542
